Sınav,Ders,Alan,Konu,Sınav ID,Ders ID,Alan ID,Konu ID
TYT,Tarih,TARIH (TÜM KONULAR),20. Yüzyıl Başlarında Osmanlı Devleti ve Dünya,tyt,tyt-tarih,tyt-tarih-tarih-tum-konular,tyt-tarih-tarih-tum-konular-20-yuzyil-baslarinda-osmanli-devleti-ve-dunya
TYT,Tarih,TARIH (TÜM KONULAR),Millî Mücadele,tyt,tyt-tarih,tyt-tarih-tarih-tum-konular,tyt-tarih-tarih-tum-konular-milli-mucadele
TYT,Tarih,TARIH (TÜM KONULAR),Atatürkçülük ve Türk İnkılabı,tyt,tyt-tarih,tyt-tarih-tarih-tum-konular,tyt-tarih-tarih-tum-konular-ataturkculuk-ve-turk-inkilabi
TYT,Coğrafya,DOĞA VE İNSAN,Coğrafya Bilimi,tyt,tyt-cografya,tyt-cografya-doga-ve-insan,tyt-cografya-doga-ve-insan-cografya-bilimi
TYT,Coğrafya,DOĞA VE İNSAN,Doğa ve İnsan,tyt,tyt-cografya,tyt-cografya-doga-ve-insan,tyt-cografya-doga-ve-insan-doga-ve-insan
TYT,Coğrafya,DÜNYA VE İKLIM,Dünya'nın Şekli ve Hareketleri,tyt,tyt-cografya,tyt-cografya-dunya-ve-iklim,tyt-cografya-dunya-ve-iklim-dunyanin-sekli-ve-hareketleri
TYT,Coğrafya,DÜNYA VE İKLIM,Yer ve Zaman,tyt,tyt-cografya,tyt-cografya-dunya-ve-iklim,tyt-cografya-dunya-ve-iklim-yer-ve-zaman
TYT,Coğrafya,DÜNYA VE İKLIM,Koordinat Sistemi,tyt,tyt-cografya,tyt-cografya-dunya-ve-iklim,tyt-cografya-dunya-ve-iklim-koordinat-sistemi
TYT,Coğrafya,DÜNYA VE İKLIM,Harita Bilimi,tyt,tyt-cografya,tyt-cografya-dunya-ve-iklim,tyt-cografya-dunya-ve-iklim-harita-bilimi
TYT,Coğrafya,DÜNYA VE İKLIM,Atmosfer,tyt,tyt-cografya,tyt-cografya-dunya-ve-iklim,tyt-cografya-dunya-ve-iklim-atmosfer
TYT,Coğrafya,DÜNYA VE İKLIM,Hava Durumu,tyt,tyt-cografya,tyt-cografya-dunya-ve-iklim,tyt-cografya-dunya-ve-iklim-hava-durumu
TYT,Coğrafya,DÜNYA VE İKLIM,Sıcaklık,tyt,tyt-cografya,tyt-cografya-dunya-ve-iklim,tyt-cografya-dunya-ve-iklim-sicaklik
TYT,Coğrafya,DÜNYA VE İKLIM,Basınç ve Rüzgâr,tyt,tyt-cografya,tyt-cografya-dunya-ve-iklim,tyt-cografya-dunya-ve-iklim-basinc-ve-ruzgar
TYT,Coğrafya,DÜNYA VE İKLIM,Nem ve Yağış,tyt,tyt-cografya,tyt-cografya-dunya-ve-iklim,tyt-cografya-dunya-ve-iklim-nem-ve-yagis
TYT,Coğrafya,DÜNYA VE İKLIM,İklim Tipleri ve Türkiye İklimi,tyt,tyt-cografya,tyt-cografya-dunya-ve-iklim,tyt-cografya-dunya-ve-iklim-iklim-tipleri-ve-turkiye-iklimi
TYT,Coğrafya,YERYÜZÜ ŞEKILLERI,Yerleşmeler ve Bölgeler,tyt,tyt-cografya,tyt-cografya-yeryuzu-sekilleri,tyt-cografya-yeryuzu-sekilleri-yerlesmeler-ve-bolgeler
TYT,Coğrafya,YERYÜZÜ ŞEKILLERI,Doğal Çevreyi Kullanma Biçimleri ve İnsan Etkileri,tyt,tyt-cografya,tyt-cografya-yeryuzu-sekilleri,tyt-cografya-yeryuzu-sekilleri-dogal-cevreyi-kullanma-bicimleri-ve-insan-etkileri
TYT,Coğrafya,YERYÜZÜ ŞEKILLERI,Dünya'nın Tektonik Oluşumu ve İç Kuvvetler,tyt,tyt-cografya,tyt-cografya-yeryuzu-sekilleri,tyt-cografya-yeryuzu-sekilleri-dunyanin-tektonik-olusumu-ve-ic-kuvvetler
TYT,Coğrafya,YERYÜZÜ ŞEKILLERI,Dış Kuvvetler,tyt,tyt-cografya,tyt-cografya-yeryuzu-sekilleri,tyt-cografya-yeryuzu-sekilleri-dis-kuvvetler
TYT,Coğrafya,YERYÜZÜ ŞEKILLERI,Türkiye'nin Yüzey Şekilleri,tyt,tyt-cografya,tyt-cografya-yeryuzu-sekilleri,tyt-cografya-yeryuzu-sekilleri-turkiyenin-yuzey-sekilleri
TYT,Coğrafya,YERYÜZÜ ŞEKILLERI,Su Kaynakları,tyt,tyt-cografya,tyt-cografya-yeryuzu-sekilleri,tyt-cografya-yeryuzu-sekilleri-su-kaynaklari
